AIRPORT,AIRPORT_LATITUDE,AIRPORT_LONGITUDE,RANKING
BRADLEY INTL,41.93887,-72.68323,57.0
PENSACOLA INTL ARPT,30.47331,-87.18744,127.0
AUSTIN-BERGSTROM INTL,30.19453,-97.66987,16.0
TAMPA INTL,27.97547,-82.53325,44.0
WILMINGTON AIR PARK,39.4233,-83.7885,131.0
RONALD REAGAN WASHINGTON NATIONAL ARPT,38.85208,-77.03772,38.0
DETROIT METRO WAYNE COUNTY ARPT,42.21206,-83.34884,9.0
THEODORE FRANCIS GREEN STATE,41.724,-71.42822,64.0
POCATELLO REGIONAL ARPT,42.91131,-112.59586,470.0
LINCOLN ARPT,40.85097,-96.75925,137.0
PALM BEACH INTL,26.68316,-80.09559,96.0
NEWARK LIBERTY INTL ARPT,40.6925,-74.16866,15.0
MIAMI INTL,25.79325,-80.29056,49.0
QUAD CITY ARPT,41.44853,-90.50754,115.0
JOHN GLENN COLUMBUS INTL ARPT,39.9969472,-82.8921611,37.0
GRAND RAPIDS/ITASCA COUNTY ARPT-GORDON NEWSTROM FIELD,47.2111,-93.50984,960.0
GRANT COUNTY ARPT,47.20771,-119.32019,163.0
ATLANTIC CITY INTL,39.45758,-74.57717,59.0
LIHUE ARPT,21.97598,-159.33896,50.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,39.04614,-84.66217,18.0
HARTSFIELD - JACKSON ATLANTA INTL ARPT,33.64044,-84.42694,10.0
TULSA INTL,36.19837,-95.88824,82.0
PITTSBURGH INTL ARPT,40.49147,-80.23287,30.0
DES MOINES INTL,41.53493,-93.66068,56.0
ONTARIO INTL ARPT,34.056,-117.60119,58.0
ITHACA TOMPKINS REGIONAL ARPT,42.49103,-76.45844,333.0
LEHIGH VALLEY INTL,40.65236,-75.4404,86.0
KENDALL-TAMIAMI EXECUTIVE ARPT,25.64789,-80.43278,304.0
RALEIGH-DURHAM INTL,35.87764,-78.78747,59.0
SAN DIEGO INTL,32.73356,-117.18966,79.0
ALBANY INTL,42.74812,-73.80298,61.0
COLUMBUS ARPT,32.51633,-84.93886,277.0
NORFOLK INTL,36.89461,-76.20122,73.0
CAPE COD GATEWAY AIRPORT,41.66934,-70.28036,221.0
BOEING FIELD/KING COUNTY INTL ARPT,47.52999,-122.30196,144.0
SALT LAKE CITY INTL,40.78839,-111.97777,6.0
"BATON ROUGE METROPOLITAN, RYAN FIELD",30.53316,-91.14963,93.0
PAGE FIELD ARPT,26.58661,-81.86325,233.0
JACKSON EVERS INTL,32.31117,-90.07589,136.0
NASHVILLE INTL,36.12448,-86.67818,24.0
METRO OAKLAND INTL,37.72129,-122.22072,47.0
GEORGE BUSH INTERCONTINENTAL/ HOUSTON ARPT,29.98047,-95.33972,20.0
YEAGER ARPT,38.37315,-81.59319,190.0
EXECUTIVE ARPT,28.54547,-81.33294,182.0
IDAHO FALLS REGIONAL ARPT,43.51456,-112.07017,310.0
TETERBORO AIRPORT,40.8501,-74.06084,33.0
CAMARILLO,34.21375,-119.09433,264.0
BILL PUGH FIELD ARPT,34.44954,-87.71031,1786.0
CHARLOTTESVILLE-ALBEMARLE ARPT,38.13864,-78.45286,274.0
MAHLON SWEET FLD,44.12326,-123.21869,158.0
GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,42.36435,-71.00518,21.0
TRI-CITIES REGIONAL TN/VA ARPT,36.47521,-82.40742,193.0
HARRISBURG INTL,40.1935,-76.7634,55.0
CAPITAL REGION INTL ARPT,42.7787,-84.58736,125.0
THE FLORIDA KEYS MARATHON,24.72614,-81.05138,399.0
HANCOCK COUNTY-BAR HARBOR,44.44969,-68.3615,383.0
GERALD R. FORD INTL ARPT,42.88082,-85.52277,54.0
BIRMINGHAM-SHUTTLESWORTH INTL,33.56294,-86.75355,66.0
TUCSON INTL,32.11608,-110.94103,101.0
FORT LAUDERDALE/HOLLYWOOD INTL,26.07258,-80.15275,32.0
CHARLOTTE/DOUGLAS INTL ARPT,35.21401,-80.94313,12.0
MEMPHIS INTL,35.04242,-89.97667,5.0
DAYTONA BEACH INTL,29.17992,-81.05806,80.0
ORLANDO INTL,28.42889,-81.31603,7.0
FORT SMITH REGIONAL ARPT,35.33659,-94.36744,286.0
ASHEVILLE REGIONAL ARPT,35.43619,-82.54181,145.0
LOVELL FIELD ARPT,35.03527,-85.20379,124.0
SAN CARLOS ARPT,37.51186,-122.24952,261.0
DUBUQUE REGIONAL ARPT,42.40296,-90.70917,437.0
MUHAMMAD ALI INTERNATIONAL,38.17439,-85.736,13.0
RICHARDS-GEBAUR AFB,38.8433,-94.5606,1786.0
JOHN C TUNE ARPT,36.18236,-86.88672,572.0
CALGARY INTL,51.11389,-114.02028,470.0
PANAMA CITY - BAY COUNTY INTL,30.21208,-85.68281,351.0
GENERAL MITCHELL INTL,42.94722,-87.89658,51.0
SARASOTA-BRADENTON INTL ARPT,27.39533,-82.55411,62.0
LUIS MUNOZ MARIN INTL,18.43942,-66.00183,113.0
KINSTON REGIONAL JETPORT AT STALLINGS FIELD,35.32808,-77.61553,739.0
CHICAGO/ROCKFORD INTL ARPT,42.19536,-89.09721,102.0
JOHN F KENNEDY INTL,40.63975,-73.77893,4.0
FORT LAUDERDALE EXECUTIVE ARPT,26.19728,-80.17071,188.0
KALAMAZOO/BATTLE CREEK INTL,42.23488,-85.55206,213.0
MELBOURNE INTL,28.10275,-80.64581,157.0
JAMES M COX DAYTON INTL,39.90238,-84.21938,69.0
PHILADELPHIA INTL,39.87195,-75.24114,17.0
DANBURY MUNICIPAL ARPT,41.37154,-73.48219,269.0
ARCATA AIRPORT,40.97812,-124.10862,629.0
NEW TAZEWELL MUNICIPAL,36.41008,-83.55546,1415.0
GROTON-NEW LONDON AR,41.33006,-72.04514,167.0
SITKA ROCKY GUTIERREZ ARPT,57.04714,-135.3616,255.0
WILL ROGERS WORLD ARPT,35.39309,-97.60073,53.0
PALO ALTO ARPT OF SANTA CLARA COUNTY,37.46112,-122.11504,242.0
SEATTLE-TACOMA INTL,47.44898,-122.30931,35.0
LAKE HOOD (SPB),61.5,-149.97193,572.0
ALBUQUERQUE INTL SUNPORT,35.04022,-106.60919,92.0
SANFORD REGIONAL ARPT,43.39386,-70.708,813.0
CENTRAL ILLINOIS REGNL ARPT,40.47799,-88.91595,172.0
LONG ISLAND MAC ARTHUR,40.79524,-73.10021,130.0
GRAND FORKS INTL,47.94926,-97.17611,135.0
ALBERT WHITTED,27.76511,-82.62697,566.0
WINGS FIELD ARPT,40.13647,-75.26703,717.0
DEKALB-PEACHTREE ARPT,33.8756,-84.30197,173.0
BURKE LAKEFRONT,41.5175,-81.68333,72.0
LAFAYETTE REGIONAL,30.20528,-91.98766,151.0
CHERRY CAPITAL ARPT,44.74144,-85.58224,158.0
GREATER ROCHESTER INTL,43.11887,-77.67238,106.0
ROANOKE REGNL ARPT/WOODRUM FIELD,37.32547,-79.97543,143.0
STEWART INTL AIRPORT,41.50409,-74.10484,186.0
HARRY REID INTERNATIONAL AIRPORT,36.08036,-115.15233,84.0
RENO TAHOE INTL,39.49858,-119.76806,132.0
PIEDMONT TRIAD INTL,36.09775,-79.9373,117.0
DANIEL K. INOUYE INTERNATIONAL AIRPORT,21.31869,-157.92241,48.0
DAVID WAYNE HOOKS MEMORIAL ARPT,30.06186,-95.55278,312.0
MOBILE REGIONAL,30.69142,-88.24283,195.0
BARKLEY REGIONAL ARPT,37.06083,-88.77375,424.0
WILLOW RUN ARPT,42.23793,-83.53041,152.0
ABRAHAM LINCOLN CAPITAL ARPT,39.84395,-89.67762,229.0
HARTFORD-BRAINARD ARPT,41.73627,-72.65021,375.0
FULTON COUNTY ARPT - BROWN FIELD,33.77914,-84.52136,364.0
SPIRIT OF ST LOUIS,38.66187,-90.65123,234.0
ONEIDA COUNTY ARPT,43.14512,-75.38386,813.0
ERIE INTL ARPT-TOM RIDGE FIELD,42.08202,-80.17622,220.0
IGOR I SIKORSKY MEMORIAL,41.16348,-73.12618,245.0
MERRILL C MEIGS ARPT,41.85884,-87.60791,368.0
PORT MEADVILLE ARPT,41.62653,-80.21473,1415.0
REPUBLIC AIRPORT,40.72878,-73.41341,298.0
WILKES-BARRE/SCRANTON INTL,41.33815,-75.72427,180.0
DUTCHESS COUNTY ARPT,41.62661,-73.88411,498.0
HUNTSVILLE INTL ARPT-CARL T JONES FIELD,34.64045,-86.77311,83.0
GREENWOOD MUNICIPAL ARPT,39.62842,-86.08789,1239.0
CHICAGO EXECUTIVE ARPT,42.11418,-87.90148,156.0
GREATER BINGHAMTON ARPT/EDWIN A LINK FIELD,42.20848,-75.97961,247.0
YAKIMA AIR TERMINAL/MCALLISTER FIELD,46.56817,-120.54406,351.0
MC CLELLAN-PALOMAR ARPT,33.12822,-117.28022,457.0
ROCHESTER INTL,43.90883,-92.49799,211.0
JUAN SANTAMARIA INTL,9.993861,-84.208806,242.0
JOHN WAYNE-ORANGE COUNTY ARPT,33.67566,-117.86822,91.0
INDIANAPOLIS INTL ARPT,39.71733,-86.29438,31.0
BILL AND  HILLARY CLINTON NATL ARPT/ADAMS FIELD,34.7294,-92.22425,63.0
BEAUREGARD REGIONAL ARPT,30.83153,-93.33964,1786.0
SPOKANE INTERNATIONAL,47.61986,-117.53384,150.0
RALEIGH COUNTY MEMORIAL,37.78733,-81.12416,617.0
NIAGARA FALLS INTL,43.10726,-78.94538,345.0
AUSTIN STRAUBEL INTL,44.48507,-88.12959,164.0
MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN ARPT,44.88055,-93.21692,28.0
SMITH MOUNTAIN LAKE,37.1045,-79.5887,1415.0
LA CROSSE MUNICIPAL AIRPORT,43.87938,-91.25654,198.0
CENTENNIAL ARPT,39.57013,-104.84929,111.0
OXNARD ARPT,34.2008,-119.20722,380.0
VALLEY INTL,26.22851,-97.65439,162.0
ST. PETE-CLEARWATER INTL ARPT,27.91076,-82.68744,94.0
SHREVEPORT REGIONAL,32.44663,-93.8256,142.0
LAURENCE G HANSCOM FIELD ARPT,42.46995,-71.28903,141.0
PEARSON FIELD ARPT,45.62045,-122.65649,865.0
KAHULUI ARPT,20.89865,-156.43046,77.0
FAYETTEVILLE REGNL ARPT/GRANNIS FIELD,34.99147,-78.88,373.0
NEW BEDFORD REGIONAL ARPT,41.67614,-70.95694,413.0
HILO INTL ARPT,19.72026,-155.04847,113.0
SOUTH BEND REGIONAL,41.70895,-86.31847,116.0
HAGERSTOWN REGNL ARPT-RICHARD A HENSON FIELD,39.70794,-77.7295,285.0
DOTHAN REGIONAL ARPT,31.32134,-85.44963,475.0
WILMINGTON INTL,34.27061,-77.90256,129.0
ROGUE VALLEY INTL - MEDFORD ARPT,42.37423,-122.8735,153.0
UNALASKA ARPT,53.90014,-166.5435,521.0
PORTLAND INTL JETPORT (ME),43.64617,-70.30875,99.0
ADDISON AIRPORT,32.96856,-96.83645,174.0
KING SALMON,58.6768,-156.64922,960.0
OTTAWA/MACDONALD-CARTIER INTL,45.3225,-75.66917,601.0
NEWPORT NEWS/WILLIAMSBURG INTL,37.1319,-76.49299,147.0
YUBA COUNTY ARPT,39.09777,-121.56983,813.0
BUCHANAN FIELD ARPT,37.98966,-122.0569,337.0
LAKEFRONT AIRPORT,30.04242,-90.02826,235.0
JACKSONVILLE INTL,30.49406,-81.68786,52.0
NAPLES MUNICIPAL,26.15247,-81.77544,231.0
CHARLES B WHEELER DOWNTOWN ARPT,39.12324,-94.59274,126.0
FAIRBANKS INTL ARPT,64.81368,-147.85967,199.0
CHEYENNE REGIONAL ARPT/JERRY OLSON FIELD,41.15572,-104.81184,646.0
MONTEREY PENINSULA,36.58698,-121.84295,326.0
LEBANON MUNICIPAL ARPT (NH),43.62637,-72.30427,461.0
AURORA MUNICIPAL ARPT,41.77193,-88.47566,493.0
SOUTHWEST GEORGIA REGIONAL ARPT,31.53552,-84.19447,383.0
NORTH PERRY ARPT,26.00142,-80.24052,388.0
DANE COUNTY REGIONAL ARPT-TRUAX FLD,43.13986,-89.33751,95.0
TEXARKANA-WEBB FIELD,33.45371,-93.99102,531.0
ELMIRA/CORNING REGIONAL ARPT,42.15991,-76.89144,245.0
ABERDEEN REGIONAL ARPT,45.44906,-98.42183,197.0
FOND DU LAC COUNTY ARPT,43.77117,-88.48843,960.0
SANTA BARBARA MUNICIPAL,34.42621,-119.84037,78.0
WAUKEGAN REGIONAL ARPT,42.42216,-87.86791,329.0
LUBBOCK PRESTON SMITH INTL ARPT,33.66364,-101.82278,148.0
CHARLESTON AFB/INTL ARPT,32.89865,-80.04051,74.0
LAKE CHARLES REGIONAL,30.1261,-93.2234,457.0
MANKATO REGIONAL ARPT,44.22165,-93.91874,717.0
SPENCER MUNICIPAL AIRPORT,43.16553,-95.20281,1239.0
GAINESVILLE REG ARPT,29.69006,-82.27178,119.0
TED STEVENS ANCHORAGE INTL,61.17432,-149.99619,128.0
KEY WEST INTL ARPT,24.55611,-81.75956,132.0
SAVANNAH/HILTON HEAD INTL ARPT,32.12758,-81.20214,87.0
BURLEY MUNICIPAL AIRPORT,42.5426,-113.77154,1036.0
PURDUE UNIV ARPT,40.41232,-86.9369,306.0
HEWANORRA ST LUCIA,13.733194,-60.952597,664.0
MIGUEL HIDALGO Y COSTILLA GUADALAJARA INTL,20.5218,-103.311167,286.0
GALLIA-MEIGS REGIONAL ARPT,38.83411,-82.16342,1036.0
OPA-LOCKA EXECUTIVE ARPT,25.907,-80.27839,272.0
TOLEDO EXPRESS ARPT,41.58681,-83.80783,200.0
RAPID CITY REGIONAL,44.04532,-103.05737,176.0
MBS INTL,43.53291,-84.07965,181.0
CORPUS CHRISTI INTL ARPT,27.77036,-97.50122,90.0
GREAT FALLS INTL,47.482,-111.37069,272.0
FLORENCE REGIONAL,34.18536,-79.72389,487.0
TRI-CITIES,46.26468,-119.11903,240.0
FORT COLLINS-LOVELAND MUNI ARPT,40.45183,-105.01134,303.0
JUNEAU INTL ARPT,58.35496,-134.57628,249.0
PALM SPRINGS INTL,33.82922,-116.50625,255.0
CHARLES M. SCHULZ-SONOMA COUNTY ARPT,38.50898,-122.81288,247.0
ANN ARBOR MUNICIPAL,42.22298,-83.74561,608.0
WACO REGIONAL ARPT,31.61129,-97.23052,429.0
COLUMBIA METRO,33.93884,-81.11954,140.0
THE EASTERN IOWA ARPT,41.88459,-91.71087,107.0
WESTFIELD-BARNES MUNICIPAL ARPT,42.15773,-72.71562,298.0
MONROE REGIONAL ARPT,32.51087,-92.03769,222.0
KETCHIKAN INTL ARPT,55.35557,-131.71374,481.0
TUSCALOOSA REGIONAL ARPT,33.22063,-87.6114,696.0
BRAINERD LAKES REGIONAL ARPT,46.39786,-94.13723,664.0
WRANGELL ARPT,56.48433,-132.36982,835.0
LAKE TAHOE ARPT,38.89388,-119.99533,717.0
RALPH WIEN MEMORIAL ARPT,66.88468,-162.59855,443.0
HOUMA-TERREBONNE ARPT,29.5665,-90.66042,437.0
PUEBLO MEMORIAL ARPT,38.28909,-104.49657,225.0
VERO BEACH MUNICIPAL,27.65556,-80.41794,252.0
RICHMOND INTL,37.50517,-77.31967,67.0
DUPAGE AIRPORT,41.90688,-88.24842,185.0
KEY FIELD AIRPORT,32.33313,-88.75121,739.0
WESTCHESTER COUNTY ARPT,41.06696,-73.70757,75.0
ELIZABETH CITY CGAS/REGIONAL ARPT,36.26057,-76.1746,255.0
CRAIG MUNICIPAL ARPT,30.33633,-81.51444,310.0
AKRON-CANTON REGIONAL,40.91631,-81.44247,209.0
RICK HUSBAND AMARILLO INTL,35.21937,-101.70593,179.0
GULFPORT-BILOXI INTL APRT,30.40728,-89.07009,137.0
READING REGNL ARPT/CARL A SPAATZ FIELD,40.3785,-75.96525,295.0
JACK BROOKS REGIONAL ARPT,29.95083,-94.02069,410.0
WICHITA DWIGHT D EISENHOWER NATL ARPT,37.64996,-97.43305,121.0
LANAI ARPT,20.78561,-156.95142,358.0
CINCINNATI MUNI ARPT-LUNKEN FIELD,39.10334,-84.41861,216.0
LAKE IN THE HILLS,42.2068,-88.32304,617.0
MANASSAS REGNL ARPT/HARRY P. DAVIS FIELD,38.72142,-77.51544,208.0
OGDEN-HINCKLEY ARPT,41.19594,-112.01218,566.0
MINOT INTL AIRPORT,48.25938,-101.28033,262.0
PHOENIX SKY HARBOR INTL ARPT,33.43417,-112.00806,43.0
BANGOR INTL,44.80744,-68.82814,206.0
NORWOOD MEMORIAL ARPT,42.1908,-71.1731,521.0
SAN ANGELO REGNL ARPT/MATHIS FIELD,31.35775,-100.49631,399.0
MERRILL FIELD ARPT,61.2,-149.3,646.0
PORTLAND-HILLSBORO ARPT,45.54039,-122.94983,230.0
ALLEGHENY COUNTY ARPT,40.3544,-79.93017,262.0
MCGHEE TYSON ARPT,35.81249,-83.99286,89.0
ST. PAUL DOWNTOWN ARPT/HOLMAN FIELD,44.93447,-93.06,281.0
TORONTO/LESTER B. PEARSON INTL,43.67722,-79.63056,266.0
GARY/CHICAGO INTL ARPT,41.61627,-87.41279,280.0
EVANSVILLE REGIONAL,38.03799,-87.53063,100.0
KENT STATE UNIVERSITY,41.15186,-81.41658,531.0
EASTERWOOD FIELD AIRPORT,30.58859,-96.36382,237.0
BRACKETT FIELD ARPT,34.09165,-117.78178,390.0
CYRIL E KING ARPT,18.33731,-64.97336,210.0
BOWMAN FIELD,38.228,-85.66372,295.0
OTTUMWA REGIONAL ARPT,41.1066,-92.44794,1239.0
FRESNO YOSEMITE INTL,36.77619,-119.71814,160.0
BRAWLEY MUNICIPAL,32.9931,-115.51693,1415.0
NOME ARPT,64.5122,-165.44525,813.0
REID-HILLVIEW ARPT OF SANTA CLARA CNTY,37.33287,-121.81979,424.0
WILLIAM M TUCK ARPT,36.71005,-78.84802,1239.0
MCNARY FLD ARPT,44.90953,-123.0025,321.0
LAWRENCE J TIMMERMAN ARPT,43.11093,-88.03442,544.0
DULUTH INTL ARPT,46.84209,-92.19365,329.0
ROGERS MUNICIPAL ARPT-CARTER FIELD,36.3723,-94.10687,664.0
NEW CASTLE COUNTY,39.67872,-75.60653,222.0
HECTOR INTERNATIONAL,46.91935,-96.81499,175.0
PERSON COUNTY ARPT,36.28489,-78.98423,1415.0
SPRINGFIELD-BRANSON NATIONAL,37.24433,-93.38686,112.0
LAKELAND ARPT/NOBLE F. LEE MEMORIAL FIELD,45.92793,-89.73094,1415.0
TYLER POUNDS REGIONAL ARPT,32.35414,-95.40239,298.0
FORT WAYNE INTL,40.97847,-85.19515,109.0
WHEELING OHIO COUNTY ARPT,40.175,-80.64628,960.0
MORRISTOWN MUNICIPAL ARPT,40.79935,-74.41487,85.0
CROOKSTON MUNI ARPT-KIRKWOOD FIELD,47.84169,-96.62162,907.0
DRUMMOND ISLAND ARPT,46.00931,-83.74393,1239.0
MONTREAL/PIERRE-ELLIOTT-TRUDEAU INTL,45.47056,-73.74083,434.0
ORLANDO SANFORD INTL ARPT,28.77764,-81.23749,65.0
BEVERLY MUNICIPAL ARPT,42.58417,-70.91652,437.0
YOUNGSTOWN-WARREN RGNL ARPT,41.26074,-80.6791,424.0
NORTHEAST FLORIDA REGIONAL,29.95925,-81.33975,288.0
MC ALLEN MILLER INTL,26.17583,-98.23861,71.0
LAWRENCE MUNICIPAL ARPT (MA),42.71721,-71.12343,582.0
BURLINGTON INTL,44.473,-73.15031,154.0
UNIV OF ILLINOIS -WILLARD ARPT,40.03925,-88.27806,177.0
NORTHWEST ALABAMA REGIONAL ARPT,34.74532,-87.61023,835.0
DUBOIS REGIONAL ARPT,41.17827,-78.8987,601.0
OLINGER AIRPARK,45.5558,-123.0183,1124.0
TRENTON MERCER ARPT,40.27669,-74.81347,171.0
MIDLAND INTL,31.94253,-102.20191,123.0
VAN NUYS ARPT,34.20981,-118.48997,122.0
NAPA COUNTY ARPT,38.21319,-122.28069,214.0
LAS AMERICAS INTERNATIONAL AIRPORT,18.429664,-69.668925,368.0
BISHOP INTL ARPT,42.9655,-83.74346,184.0
SIOUX GATEWAY ARPT/COL. BUD DAY FIELD,42.4026,-96.38437,206.0
TALLAHASSEE INTERNATIONAL AIRPORT,30.39653,-84.35033,202.0
VISALIA MUNICIPAL ARPT,36.31867,-119.39289,739.0
JOHNSTON ATOLL ARPT,16.725,-169.5345,1036.0
WILLIAMSPORT REGIONAL ARPT,41.24184,-76.9211,461.0
SALINAS MUNICIPAL ARPT,36.66279,-121.60636,646.0
FORT WORTH MEACHAM INTL ARPT,32.81978,-97.36244,168.0
BOISE AIR TERMINAL/GOWEN FIELD,43.56444,-116.22278,110.0
ACADIANA REGIONAL ARPT,30.03776,-91.8839,664.0
YAKUTAT ARPT,59.50336,-139.66023,664.0
ROCKY MOUNT-WILSON REGNL ARPT,35.85499,-77.89296,907.0
TUPELO REGIONAL ARPT,34.26811,-88.7699,617.0
SHEPPARD AFB/WICHITA FALLS MUNI ARPT,33.9888,-98.49189,762.0
SACRAMENTO EXECUTIVE ARPT,38.51252,-121.49347,350.0
GREENVILLE-SPARTANBURG INTL,34.89567,-82.21886,149.0
ROBEN-HOOD ARPT,43.72263,-85.50407,1415.0
WORCESTER REGIONAL,42.26734,-71.87571,239.0
TRI-STATE ARPT/MILTON J. FERGUSON FIELD,38.36667,-82.55803,240.0
YAMPA VALLEY,40.48118,-107.21766,253.0
ESSEX SKYPARK,39.2575,-76.4263,1415.0
BENITO JUAREZ INTL,19.436303,-99.072097,341.0
QUONSET STATE ARPT,41.59715,-71.41215,269.0
MONTGOMERY REGIONAL ARPT,32.30064,-86.39398,295.0
BROWNSVILLE/SOUTH PADRE ISLAND INTL ARPT,25.90683,-97.42586,360.0
AUSTIN MUNICIPAL,43.66499,-92.93339,907.0
SNOHOMISH CO (PAINE FIELD),47.90763,-122.28159,178.0
CITY OF COLORADO SPRINGS MUNI APRT,38.80581,-104.70025,76.0
OHIO STATE UNIVERSITY,40.07978,-83.07303,218.0
MASSENA INTL ARPT-RICHARDS FIELD,44.93583,-74.84555,907.0
BILLINGS LOGAN INTL,45.80766,-108.54286,183.0
MERCEDITA ARPT,18.0083,-66.56301,813.0
ST LOUIS DOWNTOWN,38.569,-90.1537,216.0
MOUNT HAWLEY AUXILIARY ARPT,40.79526,-89.6134,1124.0
OUTAGAMIE COUNTY REGIONAL,44.25741,-88.51948,200.0
L O SIMENSTAD MUNICIPAL ARPT,45.30859,-92.69008,1415.0
FORBES FIELD AIRPORT,38.95095,-95.66361,298.0
BLUE GRASS ARPT,38.03697,-84.60539,88.0
TWEED-NEW HAVEN ARPT,41.2639,-72.8871,120.0
GRIFFIN-SPALDING CO,33.22697,-84.27494,1786.0
TOCUMEN INTL,9.071364,-79.383453,225.0
STATESBORO -BULLOCH COUNTY ARPT,32.48317,-81.73728,1036.0
EAST TEXAS REGIONAL ARPT,32.38486,-94.71171,312.0
JACK MCNAMARA FIELD ARPT,41.78016,-124.23653,762.0
SKYLARK FIELD,31.08583,-97.6865,791.0
JACK EDWARDS ARPT,30.28952,-87.67371,791.0
MYRTLE BEACH INTL,33.67975,-78.92833,105.0
BROWN FIELD MUNICIPAL ARPT,32.57231,-116.98025,507.0
THIEF RIVER FALLS REGIONAL,48.0655,-96.18336,717.0
MACKINAC ISLAND ARPT,45.86493,-84.63734,907.0
PUERTO PLATA INTL,19.7579,-70.570033,601.0
MUSKEGON COUNTY ARPT,43.16949,-86.23822,437.0
WATERBURY-OXFORD ARPT,41.47856,-73.13525,461.0
KENTUCKY DAM STATE PARK,37.0095,-88.29587,1239.0
LIVERMORE MUNICIPAL ARPT,37.6934,-121.82035,429.0
CENTRAL WISCONSIN ARPT,44.77762,-89.66678,399.0
MACON DOWNTOWN ARPT,32.82214,-83.56203,1036.0
ESSEX COUNTY AIRPORT,40.87522,-74.28136,424.0
MC COMB (PIKE COUNTY) ARPT,31.17845,-90.47188,1124.0
JOSÉ JOAQUÍN DE OLMEDO INTERNATIONAL AIRPORT,-2.157419,-79.883558,498.0
COLEMAN A YOUNG MUNICIPAL ARPT,42.40919,-83.00986,539.0
SYDNEY INTL ARPT,-33.946111,151.177222,762.0
SANGSTER INTL,18.503717,-77.913358,364.0
HIGGINSVILLE INDUSTRIAL MUNICIPAL ARPT,39.07335,-93.67716,1124.0
RICHARD B RUSSELL,34.3506,-85.15801,960.0
WALLOPS FLIGHT FACILITY,37.9373,-75.4598,646.0
KETCHIKAN HARBOR (SPB),55.3432,-131.6727,865.0
ANOKA COUNTY-BLAINE,45.145,-93.21139,451.0
BETHEL ARPT,60.77978,-161.838,521.0
ABILENE REGIONAL ARPT,32.41132,-99.6819,329.0
TREASURE COAST INTERNATIONAL AIRPORT,27.49506,-80.36828,323.0
MURRAY FIELD AIRPORT,40.80339,-124.11279,835.0
PANAMA PACIFIC INTL ARPT,8.914794,-79.599633,1036.0
WILKES COUNTY AIRPORT,36.22284,-81.09834,1036.0
SALINA MUNICIPAL,38.79148,-97.6506,572.0
MINISTRO PISTARINI,-34.822222,-58.535833,362.0
AUBURN MUNICIPAL ARPT (WA),47.32816,-122.22651,551.0
GREENBRIER VALLEY ARPT,37.85831,-80.39947,399.0
NORTHEAST PHILADELPHIA ARPT,40.08194,-75.01059,355.0
SAND POINT ARPT,55.31503,-160.51769,865.0
OCEAN CITY MUNICIPAL (NJ),39.26347,-74.60747,960.0
SOUTHERN WISCONSIN REGIONAL ARPT,42.61958,-89.04034,517.0
